招标单位,招标单位行业分类,项目名称,项目编号,截止日期,采购内容,源网址,与公司业务匹配度,匹配产品,业务匹配说明,匹配一致性问题
吉林水利电力职业学院,教育,人工智能综合应用实训室 品目,JLSZC20260063601,2026-09-03,采购标的：人工智能综合应用实训室；主要用途：用于人工智能课程教学实训,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260727_27014492.htm,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数5，未达到65分明确匹配阈值,前往官网确认
青海师范大学附属实验中学采购单位,教育,青海师范大学附属实验中学校园AI课堂循证系统（学校常态化录播设备） 品目,青政采公招（货物）2026-217号,2026-08-25,采购标的：校园AI课堂循证系统及常态化录播设备；主要用途：用于学校课堂的AI循证教学分析和常态化录播,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260728_27023001.htm,低,无明确匹配产品,匹配结论：与VZOOM财税大模型存在潜在关联（50分，依据：纳税），但未达到明确产品匹配阈值。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数50，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
重庆商务职业学院,教育,重庆商务职业学院产教融合实训基地设备更新项目第一批标包1（虚拟拍摄与制作设备、AIGC平台与模型高效训练设备,前往官网确认,2026-08-21 09:30:00,采购标的：虚拟拍摄与制作设备、AIGC平台与模型高效训练设备及其相关的配套设施设备；主要用途：用于重庆商务职业学院产教融合实训基地设备更新，满足实训/教学亟需；核心需求：完成设备供货（设计、制造，含备品、备件、专用工器具等）、装配（含出厂前组装、测试和检验、现场整体组装等）、装卸、运输（含包装、保险）、安装（含设备实训室的环境改造）、调试、考核、验收、质量保证期内的维修、维护、保养、人员培训和其它相关伴随服务；模块/标包：虚拟拍摄与制作,https://www.ggzy.gov.cn/information/deal/html/b/500000/0101/20260729/00501ea6ba7d53844227a58f8331d50f8a32.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
宁夏职业技术大学,教育,宁夏职业技术大学AI+特色产业产教融合服务平台及资源建设项目,D6400000141101961,2026-08-21 09:00:00,采购标的：AI+特色产业产教融合服务平台及资源建设；主要用途：服务于产教融合，支撑教学与产业结合；核心需求：平台系统定制开发、教学资源建设；模块/标包：平台系统定制开发、教学资源建设,https://www.ggzy.gov.cn/information/deal/html/b/640000/0201/20260723/006434855a60b4104e5886f545be8581cedd.html,高,VZOOM财税大模型,匹配结论：VZOOM财税大模型 95分（依据：纳税、会计）；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
江西财经大学,教育,江西财经大学计算机与人工智能学院本科专业实验室采购项目,JXTC2026200235,2026-08-20 14:30:00,采购标的：计算机与人工智能学院本科专业实验室所需的各类设备和软件；主要用途：用于本科专业实验室建设；核心需求：合同签订后60日内完成货物的供货、安装、调试和培训、符合国家标准、行业规范和合同等相关文件的要求；模块/标包：空调机组、其他椅凳类、其他航空器及其配套设备、其他计算机软件、投影仪、专业摄像机和信号源设备、窗帘及类似品、存储用光纤交换机、工业机器人、服务器、会议椅、教学、实验椅凳、教学、实验用桌,https://www.ggzy.gov.cn/information/deal/html/b/360000/0201/20260729/0036490c7a97ae7c41f194e1421c619a549c.html,高,VZOOM财税大模型,匹配结论：VZOOM财税大模型 95分（依据：纳税、会计）；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数5，未达到65分明确匹配阈值,前往官网确认
运城市盐湖区医疗集团慢阻肺,医疗卫生,运城市盐湖区医疗集团慢阻肺AI筛查系统采购项目,1408022026AGK00069,2026-08-20 08:30:00,采购标的：慢阻肺AI筛查系统软件及硬件；主要用途：用于慢阻肺筛查,https://www.ggzy.gov.cn/information/deal/html/b/140000/0201/20260729/0014af21eb81922f4da0b50c5f58bdea1168.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
广东南海智渔链产业投资有限公司,农林水利,若铂三产融合“AI+水产”产业集群（南海）项目设计-采购-施工总承包（EPC） 标段名称 若铂三产融合“AI+水产”产业集群（南海）项目设计-采购-施工总承包（EPC） 公告性质 正常 资格审查方式 资格后审 招标项目实施（交货）地点 佛山市南海区九江镇沙头片区A工业区 资金来源,2606-440605-04-01-252094,2026-08-19 11:00:00,采购标的：设计-采购-施工总承包（EPC），包括工程勘察、设计、施工及设备采购；主要用途：建设一个集智能化冷库、AI机器人水产加工、生物提取、绿色包材生产、智能装备制造、设施养殖等于一体的三产融合产业园区；核心需求：工程勘察（岩土工程勘察、工程测量等）、工程设计（方案设计、初步设计、施工图设计）、工程施工及设备采购（包工包料包设备）、总工期1580日历天、满足设计深度及工程质量合格标准；模块/标包：工业用地子项：智能化冷库、“AI+机器,https://www.ggzy.gov.cn/information/deal/html/b/440000/0101/20260728/00448a11a880bd37488eb41091fd0e670fe6.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
西南医科大学附属医院,医疗卫生,一体化系统AI能力提升服务 品目,N5100012026002056,2026-08-19 09:30:00,采购标的：AI能力提升服务；主要用途：提升医院一体化系统的AI能力,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260723_26996892.htm,高,VZOOM财税大模型,匹配结论：VZOOM财税大模型 95分（依据：纳税、会计）；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
云南开放大学（云南国防工业职业技术学院,教育,云南开放大学土木工程类数字教材建设项目-人工智能支持服务系统软件采购,YNZC2026-G1-04413-YNZZ-0443,2026-08-19 09:30:00,采购标的：人工智能支持服务系统软件；主要用途：用于云南开放大学土木工程类数字教材建设项目，为学生、教师、管理员提供AI支持服务；核心需求：基于Python的数字教材人工智能支持服务软件、基于开源系统Moodle的数字教材课程内容、调用本地或云端的大语言模型、为学生、教师、管理员等不同角色提供AI支持服务,https://www.ggzy.gov.cn/information/deal/html/b/530000/0201/20260724/005316f4e7f91d9b477d81ebd892d6119369.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
中国科学院沈阳自动化研究所采购单位,教育,中国科学院沈阳自动化研究所AI科研知识库系统采购项目 品目 货物/设备/仪器仪表/其他仪器仪表,OITC-G260531761,2026-08-19 09:30:00,采购标的：AI科研知识库系统；主要用途：用于科研资料智能化阅读检索、代码生成与国家标准合规审查等科研工作；核心需求：本地化部署、智能化阅读检索、代码生成、国家标准合规审查、技术服务与系统交付；模块/标包：AI科研知识库系统,http://www.ccgp.gov.cn/cggg/zygg/gkzb/202607/t20260729_27027350.htm,高,VZOOM企业级AI智能体,匹配结论：采购项目为本地化部署的AI科研知识库系统，核心需求智能化阅读检索、代码生成与合规审查可由VZOOM企业级AI智能体的知识库/RAG、Agent技能编排及流程自动化能力承接；财税大模型和AI中台因需求不匹配未形成直接对应。；分产品说明：VZOOM财税大模型：采购需求未体现财税相关需求（依据：采购原文仅提及'智能化阅读检索、代码生成与国家标准合规审查'，未涉及发票、税务、会计核算等财税场景。）；VZOOM AI中台：采购需求未体现AI中台相关需求（依据：采购原文明确采购'AI科研知识库系统'，而非AI平台/中台，未提及模型开发部署、异构算力调度等平台能力。）,VZOOM企业级AI智能体缺少可在采购原文中核验的匹配证据
辽宁生态工程职业学院,教育,辽宁生态工程职业学院人工智能+创新应用实践中心项目 品目,JH26-210000-17544,2026-08-19 09:30:00,采购标的：人工智能+创新应用开发平台和AI模型部署与应用开发平台；主要用途：用于创新应用实践中心建设，支持教学或实践；核心需求：提供人工智能+创新应用开发平台20套、提供AI模型部署与应用开发平台20套、合同签订后5个工作日内安装调试完毕；模块/标包：人工智能+创新应用开发平台、AI模型部署与应用开发平台,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260728_27017616.htm,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
张家口职业技术学院张家口职业技术学院,教育,张家口职业技术学院人工智能实训室项目,HB2026063600200002,2026-08-19 09:00:00,采购标的：人工智能实训室所需的硬件设备（电脑、智慧黑板、交换机、电脑桌椅、车辆检测追踪AI系统、系统集成）以及AI课程与实验管理平台开发、多门AI课程开发与实训资源；主要用途：用于建设人工智能实训室，支撑教学、实训与科研活动；核心需求：A包合同签订后30个日历天内交货并完成安装调试、B包合同签订后60个日历天内交货并完成安装调试、需满足政府采购信用及中小企业预留份额要求；模块/标包：A包：电脑、智慧黑板、交换机、电脑桌椅、车辆检测追踪A,https://www.ggzy.gov.cn/information/deal/html/b/130000/0201/20260727/0013c21ce33320f643d1a83d3462e09631d4.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
迁安市人民医院,医疗卫生,电子病历智能体 品目,Z1302832601242001,2026-08-19 09:00:00,采购标的：电子病历智能体；主要用途：用于提升电子病历的智能化管理，辅助医疗诊断和病历处理,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260724_27003416.htm,中,VZOOM企业级AI智能体,匹配结论：VZOOM企业级AI智能体 65分（依据：智能体）；分产品说明：VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,产品匹配模型调用失败，已使用本地能力规则完成兜底判断
拜城县人民医院,医疗卫生,拜城县医疗援疆“高峰工程”项目—拜城县医疗专科能力提升项目信息化部分（超声AI项目,bcx-gkzb-2026-051,2026-08-18 16:00:00,采购标的：超声AI实时辅助诊断系统、超声AI质控大模型系统、超声AI实时辅助检测系统及配套硬件；主要用途：提升拜城县医疗专科能力，实现超声影像的AI辅助诊断、质控及检测；核心需求：超声AI实时辅助诊断功能、超声AI质控大模型功能、超声AI实时辅助检测功能、配套硬件安装调试、合同签订后10个日历日入场，70日历日内完成部署；模块/标包：超声AI实时辅助诊断系统、超声AI质控大模型系统、超声AI实时辅助检测系统、配套硬件,https://www.ggzy.gov.cn/information/deal/html/b/650000/0201/20260724/006526a63a1c4dcd4c17b0f9dcd570596137.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
舟山建银工程造价审查中心有限公司关于舟渔学校,教育,舟渔学校AI科学科创空间设备采购项目,前往官网确认,2026-08-18 14:30:00,采购标的：AI科学科创空间设备；主要用途：用于舟渔学校科学科创空间建设,https://www.ggzy.gov.cn/information/deal/html/b/330000/0201/20260728/0033ee5ea746e6fc447cb16111d924b0a533.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
舟山建银工程造价审查中心有限公司,其他,舟渔学校AI科学科创空间设备采购项目 品目,前往官网确认,2026-08-18 14:30:00,采购标的：AI科学科创空间设备；主要用途：用于舟渔学校科学科创空间的建设,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260729_27027721.htm,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
重庆城市管理职业大学,教育,重庆城市管理职业大学AI智慧教室扩建项目（设备及配套,CQS26A03120,2026-08-18 14:00:00,采购标的：教学设备及教学桌椅；主要用途：用于扩建AI智慧教室，提升教学信息化水平；核心需求：单屏分辨率≥3840×2160、可视角度≥178°、屏幕对比度4000:1、亮度≥350nit、灰度等级≥256级、座位间距：900mm(前后排距）×555mm（中心距）×750mm(桌面高度）（±5mm）、中标人应在采购合同签订后30个日历日内交货并完成安装调试；模块/标包：教学设备、教学桌椅,https://www.ggzy.gov.cn/information/deal/html/b/500000/0201/20260723/00507c804c3a16b14e309ad91c0d162c9780.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
无锡工艺职业技术学院,教育,人工智能实训室建设项目,JSZC-320000-JSQC-G2026-0030,2026-08-18 14:00:00,采购标的：建设人工智能实训室，包括人工智能通识课程实训平台、人工智能专业课程实训平台、桌面级六轴机械臂视觉平台及人工智能开发套件；主要用途：用于人工智能人才培养，兼顾理论教学、实验实训、认证培训及产业对接，形成完整的人工智能人才培养体系；核心需求：能部署满血版deepseek，通义千问等主流大模型、涵盖教学、实验、考试三大模块及机器学习、深度学习、自然语言处理、计算机视觉等核心课程资源、配套综合实训课程及人工智能开发硬件、桌面级六轴机械,https://www.ggzy.gov.cn/information/deal/html/b/320000/0201/20260727/003290f17f360fbc42809e7cbe9976816911.html,高,VZOOM财税大模型,匹配结论：VZOOM财税大模型 100分（依据：纳税、会计、审计）；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
辽宁职业学院,教育,辽宁职业学院产教图谱AI数智化教学评价平台项目采购 包组编号：001,JH26-210000-43552,2026-08-18 13:30:00,采购标的：产教图谱AI数智化教学评价平台；主要用途：用于教学评价，实现产教图谱智能化分析；核心需求：合同签订之日起30日内完成全部货物的供货、安装与调试，并达到验收标准、供应商应为中小企业或监狱企业或残疾人福利性单位；模块/标包：包组编号：001,https://www.ggzy.gov.cn/information/deal/html/b/210000/0201/20260727/0021cfd997f53eaa4d15a984af71cdd42b90.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
北京劳动保障职业学院,教育,双高计划智慧健康养老服务与管理专业群建设-专业群人工智能仿真实训内容建设,11000026210200174575-XM001,2026-08-18 13:30:00,采购标的：人工智能仿真实训内容建设，包括基于数字孪生的三维影像教学体系、基于AIGC与大模型的智能教学资源体系、数智化教学机制及一体化智慧教学平台；主要用途：用于双高计划智慧健康养老服务与管理专业群建设，实现VR沉浸式实训、智能答疑、案例问诊、自动测评、个性化学习路径引导等，提升专业群教学智能化水平；核心需求：完成家庭、社区、机构三类养老场景高精度建模与全景交互资源开发，实现VR沉浸式实训、多视角演示、风险点提示等功能、构建基于AIGC,https://www.ggzy.gov.cn/information/deal/html/b/110000/0201/20260728/001143d10a6831c746b0889dc5ab5adab4b7.html,前往官网确认,无明确匹配产品,匹配结论：公告未提供足以对应三个产品能力边界的采购需求证据，建议仅作为AI行业线索保留。；分产品说明：VZOOM企业级AI智能体：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM财税大模型：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值；VZOOM AI中台：采购需求中可核验的对应能力证据不足，当前规则分数0，未达到65分明确匹配阈值,前往官网确认
