项目名称,采购单位,代理机构,中标成交方,金额元,截止时间,发布日期,联系人,联系方式,地址,项目编号,来源链接
2026绿色算力（人工智能）大会服务项目及《绿色算力发展研究报告（2026年）》、《“东数西算”枢纽节点绿色算力指数研究报告（2026年）》编制服务(二次),中国（内蒙古）自由贸易试验区呼和浩特片区、内蒙古和林格尔新区招商服务局,内蒙古中鑫基工程项目管理有限公司,,4750000,2026-07-21,2026-07-14,冯亚亮、董燕、顾雪娇、王小燕、张小兵,15248150013,呼和浩特市盛乐现代服务业集聚区企业总部大楼三楼南3318室,150136-NMZXJ-GK-20260001-1,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260714_26927063.htm
宣城职业技术学院2026年AI智慧课程数智资源建设及一体化服务采购项目,宣城职业技术学院,宣城市公共资源交易有限公司,,590000,2026-07-16 09:00:00,2026-07-14,刘老师,0563-3395017,宣城市薰化路698号,XCS-CG-TP-2026008,http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202607/t20260714_26926593.htm
浙江同济科技职业学院AI教学工具支撑服务,浙江同济科技职业学院,浙江致信招标代理有限公司,浙江泛雅教育科技有限公司,580000,,2026-07-14,徐工、张小燕、胡月月、朱梅黎、沈诗佳,0571-85501756、0571-85388866,杭州市萧山高教园区耕文路418号,330000263030500000057-ZXZB-TJ-2026007C,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202607/t20260714_26926831.htm
玉溪智课·AI精准教学系统项目,玉溪市教育体育局,云南宬乙项目管理有限公司,,20900000,2026-07-20,2026-07-13,王亲、蒋静怡、刘瑞醌、师韵涵、李春发,0877-2085789、19038976101（座机）,云南省玉溪市许家湾路47号,YXZC2026-G1-00476-YNCY-0019,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260713_26924900.htm
人工智能环控教学一体机项目,陕西国防工业职业技术学院,陕西开源招标有限公司,,4280000,2026-07-20,2026-07-13,杭琨、韩婷、刘金柯、卢韶华,029-81206622-825,西安市鄠邑区人民路八号,KY2026-1-649,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260713_26922835.htm
人工智能和分布式操作系统实训室项目,四川工商职业技术学院,联投项目管理（集团）有限公司,四川长虹教育科技有限公司,3386785,,2026-07-13,陈女士,028-67873777转1、17761049664,都江堰市天府大道聚源段8号,N5100012026001505,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202607/t20260713_26925200.htm
广东省粤东技师学院人工智能与机器人产教研示范基地项目设备部分采购项目,广东省粤东技师学院,广东省政府采购中心,将于60日历日内完成（包括货物安装、调试、试运行、验收合格并交付采购人使用）,3308875,2026-08-03 09:30:00,2026-07-13,宋工,020-83196835,广东省汕头市金新路85号,GPCGD261180HG207J,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260713_26925558.htm
面向目标检测的对抗样本攻击技术,天津（滨海）人工智能创新中心,远瓴工程咨询集团有限公司,,3300000,2026-07-20 17:00:00,2026-07-13,张秋玲,13072055683,天津市滨海新区新北路4668号滨海创新创业园14号楼310,ZYT-CFTJ-GP-20260920,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260713_26925463.htm
教育部工程研究中心AI深度驱动延边黄牛精准养殖分析平台建设,延边大学,中安恒通招标（吉林）有限公司,,3000000,2026-07-20,2026-07-13,杨柳,13404769010,吉林省延吉市,采购计划-[2026]-08185号-ZAHT-2026-0707,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260713_26921927.htm
基于国产指令集二进制文件混淆和性能调优,天津（滨海）人工智能创新中心,远瓴工程咨询集团有限公司,,3000000,2026-07-20 17:00:00,2026-07-13,张秋玲,13072055683,天津开发区信环西路19号泰达外包服务产业园7号楼,ZYT-CFTJ-GP-20260919,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202607/t20260713_26925462.htm
