项目名称,采购单位,代理机构,中标成交方,金额元,截止时间,发布日期,联系人,联系方式,地址,项目编号,来源链接
玉溪智课·AI精准教学系统项目,玉溪市教育体育局,云南宬乙项目管理有限公司,,20900000,2026-08-03 09:00:00,2026-07-13,王亲、蒋静怡、刘瑞醌、师韵涵、李春发,0877-2085789、19038976101（座机）,云南省玉溪市红塔区万商汇15栋4楼,YXZC2026-G1-00476-YNCY-0019,https://www.ggzy.gov.cn/information/deal/html/b/530000/0201/20260713/005306bef32fb54b4ce2b9fadc5012f90b15.html
AI+X创新实验室建设,四川省成都市第二中学,四川国际招标有限责任公司,四川众森同越科技有限公司,5568000,,2026-07-13,邓老师,028-86945017,成都市锦江区红星路一段37号,N5101012026000776,https://www.ggzy.gov.cn/information/deal/html/b/510000/0202/20260713/00517bd13c1da3284edfa464bc8cd8d31136.html
平凉职业技术学院AI智慧文旅虚拟仿真创新实训基地项目001,平凉职业技术学院,,甘肃烨数未来教育科技有限公司,3336000,,2026-07-13,,,,006201721d3bf6df491f8f450f74f682a18d,https://www.ggzy.gov.cn/information/deal/html/b/620000/0203/20260713/006201721d3bf6df491f8f450f74f682a18d.html
教育部工程研究中心AI深度驱动延边黄牛精准养殖分析平台建设,延边大学,中安恒通招标（吉林）有限公司,,3000000,2026-08-12 09:00:00,2026-07-13,杨柳,0433-2733750,吉林省延吉市,采购计划-[2026]-08185号-ZAHT-2026-0707,https://www.ggzy.gov.cn/information/deal/html/b/220000/0201/20260713/0022ae4c98fecd684fd6b2c3e40fcaa48961.html
湖北工业大学学生AI智慧体质评测系统采购系统,湖北工业大学,湖北日晟项目管理咨询有限公司,,2920000,2026-07-24,2026-07-13,黄建东、陶娟、彭伟奇、曾艳云,027-86628266,湖北省武汉市洪山区南李路28号,HBRS-2026061,https://www.ggzy.gov.cn/information/deal/html/b/420000/0201/20260713/0042182325408344427986ee8ec45fa2458f.html
添置AI智慧体育、科创实训教学相关设备项目,四川省达州中学,四川雷速招标代理有限公司,四川汇阁同创科技有限公司,2493359,,2026-07-13,杨老师,0818-2883377,达州市达川区戛云路456号,N5117032026000073,https://www.ggzy.gov.cn/information/deal/html/b/510000/0202/20260713/0051534566e021a64ac696eb92e50cb3450a.html
六安职业技术学院 AI大模型驱动的数智校园全域数据要素与创新应用建设项目,六安职业技术学院,六安市政府采购中心,中电信数智科技有限公司,2288000,,2026-07-13,方有伟,0564-5150913,六安市解放北路1488号,LACGZX-F2026-011,https://www.ggzy.gov.cn/information/deal/html/b/340000/0202/20260713/003459b24e248f15414795d6267c8661c6cc.html
湖北大学智能教学资源（AI数字教材）制作中心建设货物采购项目合同（包一）,湖北大学,,北京智启蓝墨信息技术有限公司,1973800,,2026-07-13,,,,0042dd5f0134349348829f120a7aa1d78168,https://www.ggzy.gov.cn/information/deal/html/b/420000/0203/20260713/0042dd5f0134349348829f120a7aa1d78168.html
AI驱动的中阳木耳产业智能引导机器人研发项目合同,中阳县工信和科技局,,北京航空航天大学杭州创新研究院,1900000,,2026-07-13,,,,00143c32484000fb4d6e8263ab1fba21771a,https://www.ggzy.gov.cn/information/deal/html/b/140000/0203/20260713/00143c32484000fb4d6e8263ab1fba21771a.html
查验装备相关系统及无人机AI算法技术集成服务采购项目,义乌市低空经济产业发展有限公司,义乌市交旅检测服务有限公司,,1900000,2026-07-21 14:00:00,2026-07-13,李先生,18757647018,浙江省金华市义乌市稠江街道官塘路1237号,YWYGZC202607CG0050（JLJC202607050）,https://www.ggzy.gov.cn/information/deal/html/b/330000/9001/20260713/0033a9c11b31bae44a90ac7721913c851e6b.html
